type	time	latitude	longitude	altitude (m)	name	desc
T	2023-09-16 19:38:01.001	38.989496400	-76.871861400	0.0	Gabor_Facsko_2023-09-16_15-37-53	
T	2023-09-16 19:38:02.001	38.989504900	-76.871875300	0.0		
T	2023-09-16 19:38:03.005	38.989504900	-76.871875300	0.0		
T	2023-09-16 19:38:04.001	38.989504900	-76.871875300	0.0		
T	2023-09-16 19:38:05.001	38.989504900	-76.871875300	0.0		
T	2023-09-16 19:38:06.001	38.989512100	-76.871887500	0.0		
T	2023-09-16 19:38:07.001	38.989512100	-76.871887500	0.0		
T	2023-09-16 19:38:08.001	38.989512100	-76.871887500	0.0		
T	2023-09-16 19:38:09.001	38.989512100	-76.871887500	0.0		
T	2023-09-16 19:38:10.001	38.989521700	-76.871890700	0.0		
T	2023-09-16 19:38:11.001	38.989521700	-76.871890700	0.0		
T	2023-09-16 19:38:12.001	38.989521700	-76.871890700	0.0		
T	2023-09-16 19:38:13.001	38.989521700	-76.871890700	0.0		
T	2023-09-16 19:38:14	38.989521700	-76.871890700	0.0		
T	2023-09-16 19:38:15.001	38.989530600	-76.871898400	0.0		
T	2023-09-16 19:38:16.001	38.989530600	-76.871898400	0.0		
T	2023-09-16 19:38:17.001	38.989530600	-76.871898400	0.0		
T	2023-09-16 19:38:18.001	38.989530600	-76.871898400	0.0		
T	2023-09-16 19:38:19.001	38.989530600	-76.871898400	0.0		
T	2023-09-16 19:38:20	38.989530600	-76.871898400	0.0		
T	2023-09-16 19:38:21	38.989530600	-76.871898400	0.0		
T	2023-09-16 19:38:22	38.989530600	-76.871898400	0.0		
T	2023-09-16 19:38:23	38.989530600	-76.871898400	0.0		
T	2023-09-16 19:38:24	38.989542400	-76.871912700	0.0		
T	2023-09-16 19:38:25.002	38.989542400	-76.871912700	0.0		
T	2023-09-16 19:38:26.001	38.989542400	-76.871912700	0.0		
T	2023-09-16 19:38:27.001	38.989542400	-76.871912700	0.0		
T	2023-09-16 19:38:28.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:29.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:30.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:31.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:32.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:33.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:34	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:35.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:36.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:37.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:38.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:39.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:40	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:41	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:42	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:43.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:44.006	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:45.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:46.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:47	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:48	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:49.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:50.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:51.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:52	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:53	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:54	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:55.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:56.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:57.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:58.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:38:59.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:39:00.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:39:01.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:39:02	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:39:03.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:39:04.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:39:05.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:39:06.001	38.989548100	-76.871921700	0.0		
T	2023-09-16 19:39:07.001	38.989539700	-76.871915200	0.0		
T	2023-09-16 19:39:08.001	38.989530200	-76.871914000	0.0		
T	2023-09-16 19:39:09.001	38.989501900	-76.871937700	0.0		
T	2023-09-16 19:39:10.001	38.989501900	-76.871937700	0.0		
T	2023-09-16 19:39:11.001	38.989459900	-76.871980200	0.0		
T	2023-09-16 19:39:12.001	38.989427300	-76.872007400	0.0		
T	2023-09-16 19:39:13.002	38.989387500	-76.872033700	0.0		
T	2023-09-16 19:39:14.001	38.989335700	-76.872058800	0.0		
T	2023-09-16 19:39:15	38.989335700	-76.872058800	0.0		
T	2023-09-16 19:39:16.001	38.989290000	-76.872075000	0.0		
T	2023-09-16 19:39:17.002	38.989248500	-76.872078200	0.0		
T	2023-09-16 19:39:18.001	38.989217500	-76.872073400	0.0		
T	2023-09-16 19:39:19	38.989217500	-76.872073400	0.0		
T	2023-09-16 19:39:20	38.989159800	-76.872047300	0.0		
T	2023-09-16 19:39:21	38.989139500	-76.872015200	0.0		
T	2023-09-16 19:39:22.001	38.989137200	-76.871959500	0.0		
T	2023-09-16 19:39:23.002	38.989144700	-76.871904600	0.0		
T	2023-09-16 19:39:24.001	38.989144700	-76.871904600	0.0		
T	2023-09-16 19:39:25.001	38.989159200	-76.871816100	0.0		
T	2023-09-16 19:39:26.001	38.989167900	-76.871773400	0.0		
T	2023-09-16 19:39:27.002	38.989175100	-76.871736400	0.0		
T	2023-09-16 19:39:28	38.989182900	-76.871703200	0.0		
T	2023-09-16 19:39:29.001	38.989196000	-76.871675100	0.0		
T	2023-09-16 19:39:30.001	38.989212300	-76.871643400	0.0		
T	2023-09-16 19:39:31	38.989228000	-76.871628100	0.0		
T	2023-09-16 19:39:32	38.989250200	-76.871618300	0.0		
